5 3 30
1 1 1 20490.58
1 2 2 70182.54
1 3 3 54121.80
1 4 4 78048.17
1 5 5 81135.19
1 1 2 77896.30
1 2 3 82199.78
1 3 4 80922.00
1 4 5 108171.58
1 1 3 101116.44
1 2 4 145310.11
1 3 5 121414.65
1 1 4 150330.78
1 2 5 163836.66
1 1 5 177489.98
2 1 1 67504.06
2 2 2 100369.19
2 3 3 17874.20
2 4 4 74303.50
2 5 5 18106.14
2 1 2 167118.37
2 2 3 101165.89
2 3 4 76399.98
2 4 5 88223.68
2 1 3 168438.02
2 2 4 174971.05
2 3 5 92233.67
2 1 4 211428.40
2 2 5 185409.62
2 1 5 211549.79
3 1 1 109419.10
3 2 2 12410.05
3 3 3 80002.07
3 4 4 66877.83
3 5 5 91399.84
3 1 2 111458.70
3 2 3 88556.82
3 3 4 117690.60
3 4 5 99458.32
3 1 3 159425.33
3 2 4 118769.22
3 3 5 173653.45
3 1 4 218282.88
3 2 5 180964.16
3 1 5 257597.56
